CASE,age,Age_prolific,sex,gender,education,occupation,Nationality,race,hispanic,non_hispanic_white,even_odd,psychant,psychsyn,mahal_dist,longstring,time_per_item,included,not_serious,Language,total_approvals,AAID_01,AAID_05,AAID_07,AAID_09,AAID_12,AAID_14,PANAS_09,PANAS_14,PANAS_10,PANAS_05,PANAS_08,PANAS_06,PANAS_04,PANAS_18,PAQ_08,PAQ_20,PAQ_05,PAQ_17,PAQ_13,PAQ_07,PAQ_10,PAQ_16,PAQ_03,PAQ_15,PSS_01,PSS_02,PSS_03,PSS_08,PSS_11,PSS_12,PSS_14,NEPS_01,NEPS_05,NEPS_07,NEPS_09,NEPS_13,ULS8_01,ULS8_02,ULS8_04,ULS8_05,ULS8_07,ULS8_08,FCV19S_01,FCV19S_02,FCV19S_03,FCV19S_04,FCV19S_05,FCV19S_06,FCV19S_07,DAQ_05,DAQ_07,DAQ_09,DAQ_11,DAQ_15,DAQ_19,DAQ_21,DAQ_23,DAQ_25,DAQ_02,DAQ_06,DAQ_08,DAQ_10,DAQ_12,DAQ_14,DAQ_16,DAQ_24,CESD_01,CESD_02,CESD_03,CESD_05,CESD_06,CESD_07,CESD_09,CESD_10,CESD_11,CESD_13,CESD_14,CESD_15,CESD_17,CESD_18,CESD_19,CESD_20,HEXACO_01,HEXACO_02,HEXACO_06,HEXACO_09,HEXACO_11,HEXACO_12,HEXACO_13,HEXACO_15,HEXACO_17,HEXACO_18,HEXACO_21,HEXACO_22,HEXACO_27,HEXACO_29,OCIR_01,OCIR_02,OCIR_03,OCIR_04,OCIR_05,OCIR_06,OCIR_07,OCIR_08,OCIR_09,OCIR_10,OCIR_11,OCIR_12,OCIR_13,OCIR_14,OCIR_15,OCIR_16,OCIR_17,OCIR_18,PTQ_01,PTQ_02,PTQ_03,PTQ_04,PTQ_05,PTQ_06,PTQ_07,PTQ_08,PTQ_09,PTQ_10,PTQ_11,PTQ_12,PTQ_13,PTQ_14,PTQ_15,RAAS_01,RAAS_05,RAAS_06,RAAS_12,RAAS_14,KSA3_01,KSA3_02,KSA3_03,KSA3_04,KSA3_05,KSA3_06,KSA3_07,KSA3_08,KSA3_09,SAS_01,SAS_02,SAS_03,SAS_04,SAS_05,SAS_07,SAS_08,SAS_09,MFQ_01,MFQ_02,MFQ_03,MFQ_04,MFQ_05,MFQ_06,MFQ_07,MFQ_08,MFQ_09,MFQ_10,MFQ_11,CQ_03,CQ_04,CQ_05,CQ_09,CQ_14,CQ_15,CQ_16,OLBI_07,OLBI_10,OLBI_15,OLBI_16,UWES9_01,UWES9_02,UWES9_03,UWES9_04,UWES9_05,UWES9_06,UWES9_07,UWES9_08,UWES9_09,WGS_01,WGS_02,WGS_03,WGS_04,WGS_05,WGS_06,WGS_07,WGS_08,WGS_09,WGS_10
1014,52,52,Male,Same as sex,Grade 12,Software developers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.87843440525018,-0.861170600914858,0.90889558129311,229.647302641691,10,4.43283582089552,TRUE,FALSE,English,1055,5,7,5,7,6,6,4,4,5,5,1,1,2,1,1,1,1,1,1,1,1,1,1,5,2,3,1,1,2,5,1,3,7,2,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,6,6,6,7,7,7,7,6,7,7,6,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,6,7,5,7,7,5,3,5,7,7,7,7,3,5,3,5,5,1,1,1,2,5,5,1,1,5,1,6,3,1,1,2,1,1,1,1,5,5,1,1,1,2,5,1,1,1,7,5,6,7,7,1,6,1,5,3,1,7,3,5,7,2,7,7,7,1,1,1,6,7,7,7,6,7,7,5,5,7,6,6,3,5,7,1,5,7,6,7,6,2,3,5,5,5,1,3,5,7,3,5,5,5,6,7,5,5,3,3,5
915,52,52,Female,Same as sex,2 years of college,Fashion designers,United States,Black/African American,"No, not of Hispanic, Latino, or Spanish origin",0,-0.900824813393026,-0.922820911848314,0.961287345136773,175.14335462193,10,10.8544776119403,TRUE,FALSE,English,855,3,4,6,3,6,6,7,7,7,7,1,1,1,1,1,3,1,6,2,2,1,1,1,4,1,1,1,1,1,4,1,1,4,5,7,4,1,1,1,1,1,1,2,3,2,1,1,1,2,6,6,6,6,6,7,7,6,6,6,6,6,6,7,6,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,4,6,6,7,5,7,6,7,7,7,7,5,2,1,2,1,2,1,1,1,2,1,1,2,1,2,3,7,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,6,4,6,7,6,4,2,4,4,4,6,7,6,6,6,6,6,6,7,2,2,1,7,7,7,7,7,7,7,7,6,4,6,1,1,4,4,1,1,3,7,7,7,7,7,6,7,7,7,7,7,6,3,7,7,7,6,6,5,6,2,5,7
785,28,28,Male,Same as sex,4 years of college,Computer and information systems managers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.900414510104304,-0.0857415625669395,0.590443677222186,226.104122647131,6,7.11194029850746,TRUE,FALSE,English,2,5,5,6,6,6,6,7,6,7,6,4,3,2,3,6,5,6,6,6,7,6,6,5,7,5,5,6,5,5,6,6,5,3,5,6,4,2,2,2,3,7,3,5,7,3,6,5,2,5,7,6,6,6,7,6,6,7,6,7,7,6,6,6,6,6,6,3,3,4,6,3,5,3,2,3,4,2,5,2,2,3,3,5,6,2,5,6,6,7,6,5,2,6,6,7,5,6,6,7,6,6,6,6,6,7,7,7,6,7,6,7,6,7,7,6,6,2,3,5,5,5,6,6,6,6,6,5,5,6,6,5,6,6,5,6,6,7,7,6,7,6,6,6,6,6,7,6,7,7,6,4,7,7,6,7,7,7,6,6,7,6,6,7,6,6,6,7,6,6,7,5,6,7,6,7,7,7,6,7,7,5,6,7,7,7,6,7,6,7,6,7,6
678,49,49,Female,Same as sex,5+ years of college,Other managers,United States,White,"Yes, another Hispanic, Latino, or Spanish origin",0,-0.70871299527036,-0.976532287143899,0.982741586176872,131.418055034509,18,3.36194029850746,TRUE,FALSE,English,914,6,7,6,7,6,5,7,6,7,7,1,1,2,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,6,1,5,7,7,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,5,6,7,5,4,6,6,4,6,4,6,6,5,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,7,7,7,7,2,2,2,4,1,1,5,1,2,4,4,5,5,5,2,4,4,6,7,3,4,2,7,7,7,1,4,4,4,1,4,1,1,5,1,6,6,6,6,6,6,6,6,4,4,7,6,6,6,5,6,7,6,5,6,6,6,6
681,67,67,Female,Same as sex,5+ years of college,N/A: Unemployed,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.809429086451884,-0.458565507074072,0.747175985094472,221.207711149692,6,4.72388059701493,TRUE,FALSE,English,714,6,7,4,6,5,5,3,2,5,5,1,1,2,3,2,2,1,2,2,2,2,2,2,5,2,2,4,1,1,4,2,6,6,6,7,7,6,1,2,3,3,2,1,2,2,3,2,2,1,7,7,7,6,7,6,7,7,6,6,7,6,6,7,7,7,6,2,1,2,2,3,3,1,4,7,3,4,4,1,4,4,4,2,3,3,2,7,7,5,2,6,5,7,7,6,3,5,2,2,1,1,5,5,1,1,1,1,5,5,2,1,4,1,2,2,5,2,3,2,6,6,3,2,2,2,6,2,2,2,5,5,6,6,6,2,1,2,5,1,1,5,2,3,6,6,5,6,6,2,2,5,6,5,5,5,7,7,7,2,3,1,4,6,5,6,2,3,5,6,,,,,,,,,,,,,,,,,,,,,,,
686,45,45,Female,Same as sex,5+ years of college,N/A: Unemployed,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.717571757606289,-0.145782801745428,0.688086395613056,224.480165725576,11,2.90671641791045,TRUE,FALSE,English,2176,7,7,6,7,6,6,3,3,3,3,2,4,4,2,3,2,1,1,2,5,5,1,3,5,4,4,4,3,3,6,5,5,5,7,7,5,5,5,5,7,6,5,1,5,1,5,5,1,1,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,3,4,1,3,3,4,5,4,4,1,3,2,1,3,3,4,6,6,5,6,3,5,4,6,3,5,6,5,5,5,5,7,6,6,6,3,5,6,5,5,6,5,5,6,6,5,6,4,3,3,3,1,1,5,3,1,1,3,3,5,2,1,1,5,1,1,5,5,1,3,1,5,1,1,4,3,4,6,7,7,7,7,1,1,2,6,5,3,1,3,6,5,1,3,1,1,6,3,2,3,1,5,6,,,,,,,,,,,,,,,,,,,,,,,
688,55,55,Male,Same as sex,5+ years of college,N/A: Unemployed,United States,Other race,"Yes, Mexican, Mexican Am., Chicano",0,-0.851366792713299,-0.884616542190347,0.911763364248109,186.397523106403,17,3.3955223880597,TRUE,FALSE,English,617,6,6,6,6,6,6,6,7,6,7,1,1,2,1,2,2,2,1,1,2,2,1,1,2,1,2,2,2,2,6,1,4,7,7,7,4,1,1,1,1,1,1,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,1,2,1,2,2,4,2,2,1,2,2,2,7,2,1,7,7,4,6,7,6,2,7,7,6,1,2,5,1,1,1,1,2,5,1,1,1,4,6,5,1,1,1,1,6,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,4,4,6,4,7,6,6,6,3,1,6,2,4,6,6,6,6,7,4,4,4,7,7,6,6,7,7,7,7,4,7,7,5,2,4,4,2,4,2,,,,,,,,,,,,,,,,,,,,,,,
687,32,32,Male,Same as sex,4 years of college,Military officer special and tactical operations leaders,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.663539722312014,-0.326076840432054,0.363350221437975,235.131821766403,6,2.10820895522388,TRUE,FALSE,English,2061,5,3,4,4,6,3,3,2,3,2,2,3,3,4,3,3,2,4,5,5,4,5,4,3,3,3,5,3,3,3,5,3,4,5,3,3,5,5,6,5,6,3,4,3,3,3,3,3,3,4,5,4,4,5,5,5,6,5,5,4,6,4,5,5,4,4,4,2,4,3,5,4,4,4,4,6,4,3,2,6,5,4,4,2,5,4,3,5,3,2,4,5,2,6,4,2,3,5,4,3,6,2,3,5,4,2,4,4,3,4,4,1,4,3,5,4,4,6,5,6,6,6,5,5,5,5,6,3,7,5,2,2,2,3,4,5,4,6,4,4,4,4,4,5,6,6,5,6,2,1,1,5,5,2,3,6,3,3,5,4,5,4,6,4,5,2,6,5,5,6,4,4,4,2,2,2,3,2,2,2,2,2,5,5,5,5,6,5,5,4,4,5
894,27,27,Female,Same as sex,3 years of college,Customer service representatives,United Kingdom,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.726264249480211,-0.841997332366915,0.866415941457175,198.451596927213,5,5.05970149253731,TRUE,FALSE,English,1794,6,7,3,7,4,3,2,2,1,1,5,4,7,5,5,5,3,4,6,6,4,6,4,4,5,5,6,5,4,5,6,7,7,7,7,7,5,6,6,6,5,6,2,2,1,1,2,1,1,6,6,6,6,6,7,7,5,6,7,7,7,7,5,6,6,6,4,4,6,5,6,5,6,4,5,5,6,4,5,6,6,5,1,6,5,1,7,4,3,6,6,7,4,6,5,5,5,5,6,6,5,6,5,6,7,6,3,6,6,6,7,2,3,6,6,6,7,6,6,6,6,7,5,7,6,6,5,6,6,2,1,3,4,1,1,1,1,3,2,1,4,2,1,5,6,6,6,7,2,2,2,6,6,6,1,6,7,7,5,3,2,7,5,3,2,5,5,6,6,2,3,1,1,2,2,3,1,1,1,3,3,2,1,1,3,2,2,4,5,2,1,2
692,49,49,Female,Same as sex,4 years of college,Artists and related workers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.86411486401059,-0.302173417232142,0.79086580033354,117.829883317788,7,3.26119402985075,TRUE,FALSE,English,2342,5,5,5,5,5,5,3,3,3,3,2,3,5,3,4,5,4,3,3,5,3,3,2,3,4,4,5,3,3,4,4,6,6,6,6,5,3,3,4,5,5,4,2,2,2,2,2,2,2,6,6,5,6,6,6,5,6,6,6,6,5,6,6,6,6,6,4,3,5,4,5,5,2,4,5,4,4,2,4,4,2,4,4,7,6,3,5,7,5,5,4,7,6,4,5,2,2,3,3,2,3,5,3,2,2,2,2,4,3,2,2,2,3,4,5,5,5,3,4,5,5,5,4,5,5,5,4,4,5,6,5,5,6,6,2,2,2,4,2,2,3,2,3,6,6,6,6,5,2,2,3,6,6,2,3,4,5,6,5,3,2,2,5,5,5,4,5,5,6,4,5,4,4,3,4,4,4,4,4,5,4,4,3,5,3,6,5,5,5,5,5,4
693,38,37,Male,Same as sex,5+ years of college,Biological scientists,Malaysia,Chinese,"No, not of Hispanic, Latino, or Spanish origin",0,-0.465791957782769,-0.4730754215737,0.615246803922794,204.371304628782,7,15.1753731343284,TRUE,FALSE,English,72,5,6,6,5,6,6,2,2,2,2,2,4,4,4,6,6,6,3,5,6,6,6,5,3,5,5,4,5,5,5,6,6,7,5,7,6,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,4,3,4,4,3,4,4,4,5,4,3,4,4,4,3,1,4,3,6,4,4,4,2,4,5,4,3,2,3,4,4,3,3,2,4,6,2,5,5,5,4,3,6,5,3,5,6,4,3,2,6,5,5,5,2,2,5,6,6,4,2,4,6,6,5,5,5,6,6,6,5,6,5,5,5,5,6,6,3,5,3,3,3,5,3,3,6,5,5,5,3,5,6,2,6,6,6,3,3,6,7,6,3,5,5,7,7,6,2,5,3,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,6,5,2,5,5
699,25,25,Female,"Other, please specify",4 years of college,Clinical and counseling psychologists,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.89313973303562,-0.323063814180718,0.721524038446534,185.444887576191,17,4.61567164179105,TRUE,FALSE,English,344,7,7,1,7,1,1,3,3,3,3,1,2,4,5,6,4,2,2,6,6,3,2,6,6,5,5,6,5,5,5,4,2,7,6,7,5,1,1,5,5,3,2,1,1,1,2,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,1,2,7,1,5,3,4,1,3,1,2,1,3,3,5,3,3,3,2,5,3,3,5,2,5,1,6,5,5,4,2,1,1,1,2,6,1,1,1,1,3,6,1,1,1,1,2,5,3,3,3,3,5,4,5,4,5,5,5,5,3,4,5,3,3,5,6,1,1,1,4,2,1,5,1,2,6,6,6,6,6,2,1,4,6,6,1,1,2,6,6,6,1,2,3,6,6,6,3,6,6,6,3,3,4,3,2,3,5,5,3,4,7,5,2,5,5,6,6,6,6,5,5,5,5
957,61,61,Female,Same as sex,1 year of college,Administrative services managers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.855360674083707,-0.772000390821996,0.768433763593708,246.479985500119,8,6.04850746268657,TRUE,FALSE,English,1781,7,6,5,7,5,5,6,6,4,4,1,1,3,1,2,1,5,1,1,6,1,1,3,6,2,1,3,2,1,5,1,4,6,4,6,3,1,1,1,1,3,2,5,4,1,2,3,1,1,6,6,5,6,4,6,6,5,3,5,6,6,6,3,6,5,5,1,1,1,4,1,1,1,2,5,1,1,1,1,1,1,1,2,7,6,3,3,1,5,5,3,7,6,7,7,2,6,3,5,5,1,2,2,3,1,1,1,4,1,1,1,1,1,1,1,1,2,2,1,1,2,3,1,1,1,3,1,1,1,6,5,6,6,6,3,5,4,6,5,5,6,4,6,6,4,6,5,6,1,2,2,6,6,6,7,6,7,6,5,2,3,4,3,3,4,2,1,3,1,5,5,5,5,3,5,5,5,2,6,6,5,3,3,6,6,6,7,5,6,4,4,4
697,36,37,Female,Same as sex,3 years of college,Customer service representatives,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.932987167528949,-0.294492612201383,0.745546257211869,150.515284890712,7,2.90671641791045,TRUE,FALSE,English,282,5,5,4,5,4,4,4,4,6,4,2,3,2,4,6,6,5,6,6,6,4,6,6,5,4,4,4,2,2,5,3,4,4,4,5,4,4,2,4,5,2,3,1,1,1,1,1,1,1,5,5,6,5,6,5,5,5,5,5,6,5,6,5,6,6,5,2,4,2,2,2,4,1,1,5,2,2,2,2,3,2,4,4,4,3,3,4,6,4,4,6,6,5,4,5,3,2,5,5,2,5,5,2,5,4,2,5,5,2,2,4,2,5,2,5,5,5,3,5,5,4,5,4,5,4,5,4,4,5,3,3,4,5,6,3,3,4,5,2,2,4,4,3,4,6,6,6,6,4,2,4,5,3,5,6,5,6,6,5,3,6,5,6,6,2,3,6,6,5,3,4,4,3,4,4,4,4,3,4,4,4,3,4,4,5,3,5,4,4,5,5,5
700,44,44,Female,Same as sex,3 years of college,Registered nurses,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.791683935661979,-0.617321046149005,0.760963696528513,237.306659644695,6,3.58208955223881,TRUE,FALSE,English,618,5,6,6,6,6,5,4,4,2,2,3,6,6,4,6,6,6,6,6,5,6,6,2,4,7,7,7,7,6,6,7,2,6,6,6,6,7,7,6,7,2,6,2,2,2,2,1,2,1,6,6,6,6,6,6,7,6,7,7,6,5,5,7,7,6,6,2,2,6,4,7,7,7,5,5,5,5,1,6,6,5,6,3,5,7,2,7,5,6,2,5,6,5,2,7,2,2,1,5,1,1,6,1,1,3,1,1,6,1,1,3,1,1,5,7,7,7,6,7,7,5,6,6,5,7,7,7,6,3,2,1,2,2,2,3,5,2,6,3,3,6,4,5,7,7,7,7,7,2,1,3,7,7,3,7,7,7,7,5,5,7,7,7,6,7,6,5,6,6,5,2,5,5,5,5,2,5,1,7,6,5,7,6,3,6,7,7,6,7,5,6,6
701,63,63,Female,Same as sex,4 years of college,Administrative services managers,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.905521221732649,-0.938041552158306,0.954629541591593,214.118156971176,34,3.07835820895522,TRUE,FALSE,English,4765,1,2,7,1,7,7,5,4,3,5,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,3,1,3,7,1,2,2,7,7,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,6,6,6,5,7,7,6,6,6,6,7,6,6,6,7,7,1,1,1,1,2,1,2,1,3,1,1,1,1,2,1,2,1,1,1,1,2,7,3,2,1,1,7,7,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,6,7,7,7,2,2,1,6,5,1,7,2,6,7,7,7,7,7,1,1,1,7,7,6,7,6,7,7,7,1,7,6,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7
728,34,34,Female,Same as sex,2 years of college,Computer and information systems managers,United States,"Two major races (e.g., White and Japanese)","No, not of Hispanic, Latino, or Spanish origin",0,-0.845081329332334,-0.722987333693048,0.805474867435457,222.99341356358,8,7.29477611940299,TRUE,FALSE,English,1143,6,6,4,7,5,5,6,6,4,5,1,1,1,1,1,1,1,1,5,1,4,5,1,6,1,2,2,2,2,6,2,4,6,6,7,5,1,1,1,1,1,2,1,1,4,1,4,1,1,7,7,6,7,7,7,7,4,6,7,7,7,7,7,7,6,6,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,1,3,6,5,6,6,7,5,6,6,7,6,7,6,7,2,6,5,7,6,1,1,6,5,5,5,2,5,4,6,1,7,2,5,5,1,2,4,5,1,4,5,2,1,4,4,4,3,5,2,6,7,6,6,5,5,7,5,5,7,5,6,6,7,6,5,7,1,1,4,6,7,5,7,7,7,7,7,2,7,7,4,3,6,6,4,5,5,6,6,6,6,6,7,6,7,6,7,7,6,7,5,5,6,6,6,5,5,6,5,5
705,45,45,Female,Same as sex,4 years of college,Project management specialists,Azerbaijan,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.933807434938415,-0.681857717031028,0.710284153395047,226.9018907228,7,9.93283582089552,TRUE,FALSE,Russian,281,6,6,6,6,6,6,5,6,6,5,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,4,3,4,1,5,1,2,7,7,7,5,2,2,2,2,1,2,2,1,2,1,1,1,1,4,6,6,6,3,6,4,4,5,6,6,5,7,6,6,6,4,2,2,2,2,2,6,2,2,2,4,4,2,2,2,2,2,6,6,2,6,1,7,6,4,5,6,7,6,6,6,2,1,2,1,1,2,2,1,4,1,2,2,2,1,1,1,1,2,2,3,3,2,3,5,2,4,2,2,2,2,3,4,3,6,5,6,6,5,2,2,3,6,3,2,6,3,2,2,6,6,6,6,6,4,5,6,6,7,6,6,7,7,7,4,6,5,5,2,3,4,6,2,2,2,7,5,6,2,2,4,4,3,6,4,5,3,3,2,2,3,6,3,6,4,4,5
921,36,36,Female,Same as sex,Grade 9,N/A: Unemployed,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.7843959406425,-0.796652299923031,0.857563581223704,166.826555330046,18,7.16044776119403,TRUE,FALSE,English,909,4,4,6,2,5,6,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,3,2,6,5,5,6,6,1,2,1,1,1,4,4,4,3,3,4,2,4,6,6,6,6,5,6,6,6,4,5,6,5,6,5,6,6,6,2,1,2,2,2,2,1,1,1,1,1,1,2,2,1,2,6,6,4,4,5,6,4,4,5,6,6,6,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,4,2,2,2,2,3,2,4,4,5,4,1,5,4,2,2,2,5,4,2,5,4,4,6,4,7,7,7,1,1,1,6,6,5,5,7,6,7,4,3,2,6,4,1,5,6,4,5,5,,,,,,,,,,,,,,,,,,,,,,,
948,18,18,Male,Same as sex,Grade 12,N/A: Unemployed,United States,Black/African American,"Yes, Puerto Rican",0,-0.844315420485457,-0.391833633395935,0.612488810532753,251.704175777166,7,9.8134328358209,TRUE,FALSE,English,10,6,7,6,6,5,7,5,6,5,4,1,1,3,1,2,3,2,2,5,7,2,1,5,5,2,1,5,2,2,5,2,1,6,6,6,6,1,1,3,1,2,3,1,1,1,1,1,1,1,6,6,5,5,5,7,6,3,5,7,6,6,7,5,6,6,6,1,2,1,4,1,5,2,1,1,1,1,2,1,1,1,1,2,7,6,1,6,6,6,5,3,2,6,6,7,6,1,5,2,1,2,2,5,2,4,1,2,2,5,2,3,1,2,5,2,5,4,3,1,2,5,6,6,1,5,5,2,2,1,6,3,6,6,5,2,2,3,5,4,3,6,3,4,6,6,6,7,7,2,1,2,6,7,6,5,6,7,6,5,2,5,5,6,1,5,6,2,6,1,,,,,,,,,,,,,,,,,,,,,,,
709,21,21,Male,Same as sex,4 years of college,"Food servers, nonrestaurant",United States,"Two major races (e.g., White and Japanese)","Yes, Mexican, Mexican Am., Chicano",0,-0.861303803112548,-0.078441086963688,0.609450829948148,156.79126399644,7,4.75373134328358,TRUE,FALSE,English,49,5,6,5,4,5,5,3,3,2,2,1,4,4,2,4,3,5,3,4,3,5,4,5,3,1,4,5,4,2,5,5,4,6,4,6,5,4,2,3,4,5,4,1,2,2,3,3,2,2,5,5,6,5,5,5,5,5,5,5,6,4,6,5,5,5,5,4,6,5,5,5,3,2,3,6,5,5,4,2,5,1,6,3,6,4,3,6,4,5,6,4,6,3,6,6,5,6,5,3,2,2,5,4,2,3,3,5,5,5,5,3,4,4,5,6,6,5,5,5,6,6,5,5,6,5,5,5,5,5,4,5,3,4,5,5,4,5,5,4,3,4,5,3,4,4,5,6,6,3,3,2,6,6,3,5,4,6,6,6,4,5,4,5,6,5,6,5,5,6,5,5,4,4,4,5,4,5,5,5,5,6,6,6,4,4,5,5,5,5,4,5,6
712,22,22,Male,Same as sex,4 years of college,Accountants and auditors,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.787027167827593,-0.766790996424523,0.808623074709891,187.833761445556,4,3.32462686567164,TRUE,FALSE,English,832,7,6,5,5,4,4,4,4,5,5,2,1,2,2,3,2,2,2,3,3,4,4,3,5,3,2,3,2,2,5,2,2,3,2,4,2,2,2,2,2,2,1,2,2,1,2,2,1,1,6,6,5,5,5,5,6,5,5,6,5,6,5,5,5,5,6,2,2,1,4,1,2,1,2,3,2,1,2,1,1,2,3,5,5,3,4,4,6,4,4,6,6,2,6,6,4,4,2,4,2,3,1,5,3,2,2,2,2,4,2,4,3,2,2,2,3,1,2,2,4,2,3,5,3,2,6,2,2,2,5,6,6,3,6,4,5,4,5,4,4,6,5,4,4,5,6,6,5,2,2,4,4,6,6,4,5,7,2,5,5,6,6,4,6,6,6,3,2,7,4,5,3,4,5,5,5,6,5,5,6,6,6,6,5,6,6,6,5,6,6,6,5
714,35,35,Female,Same as sex,4 years of college,Social and human service assistants,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.78973322417144,-0.614099008796265,0.660625335856926,186.464797482717,17,3.84701492537313,TRUE,FALSE,English,233,6,7,4,6,5,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,2,6,5,6,6,6,1,1,1,2,5,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,6,3,5,6,5,3,6,6,6,6,2,5,6,3,1,3,5,1,1,1,2,3,5,1,1,5,1,1,5,1,1,2,3,5,3,2,5,3,3,5,2,2,2,3,3,2,2,5,5,5,6,6,2,1,5,5,2,2,6,6,3,6,6,6,5,6,2,2,2,5,5,5,6,6,7,6,5,6,5,3,3,2,2,2,2,6,2,5,6,5,5,5,5,6,5,5,5,6,5,5,6,7,6,3,5,2,3,6,3,6
755,26,26,Male,Same as sex,4 years of college,N/A: Unemployed,Philippines,Other Asian or Pacific Islander,"No, not of Hispanic, Latino, or Spanish origin",0,-0.708210889890678,-0.646678507137455,0.589857288471351,249.623925556583,7,11.7014925373134,TRUE,FALSE,Tagalog-Filipino,1259,7,7,5,7,4,3,1,1,1,3,1,7,4,4,5,2,2,2,3,6,6,3,5,6,4,7,6,7,5,5,6,6,6,7,6,5,6,6,7,6,7,6,1,1,1,1,1,1,1,5,4,3,4,6,6,5,4,6,3,4,6,4,6,6,2,5,1,2,3,5,5,6,7,2,4,4,3,1,1,5,6,5,4,2,5,6,3,2,6,6,6,1,5,4,2,4,1,5,4,1,1,6,5,2,3,2,1,5,6,2,3,2,3,6,5,6,6,6,6,6,6,7,4,7,6,6,7,7,3,2,5,4,5,2,4,4,3,4,2,1,6,3,5,4,3,6,5,7,2,1,4,7,5,2,4,2,7,7,6,3,4,3,6,5,2,2,5,6,4,,,,,,,,,,,,,,,,,,,,,,,
716,22,22,Female,Same as sex,4 years of college,Computer and information research scientists,United States,White,"No, not of Hispanic, Latino, or Spanish origin",1,-0.753713479213427,-0.475050984637912,0.826093892634716,219.735520115086,7,3.58955223880597,TRUE,FALSE,English,1236,5,6,4,6,3,3,3,3,2,3,1,2,2,1,5,5,1,2,5,5,2,2,1,2,5,2,3,2,2,5,1,6,7,7,7,7,2,1,2,3,5,5,1,1,1,1,1,1,1,7,7,6,7,7,7,7,7,6,7,7,7,7,7,6,7,7,2,1,1,3,1,4,1,1,3,2,4,1,1,3,2,1,5,6,6,5,3,3,7,6,3,6,6,6,7,3,1,1,2,3,1,3,2,1,5,2,1,2,2,1,2,2,2,2,5,5,2,2,3,6,5,3,3,3,3,5,5,3,3,1,2,1,2,3,6,5,3,6,3,3,6,5,4,7,7,7,7,7,1,1,1,7,5,1,5,5,7,6,3,2,3,2,6,3,2,5,3,5,5,6,5,6,3,3,6,5,6,5,6,6,6,6,6,5,6,7,5,7,6,6,5,6
