item_a,item_b,correlation,partition
i can handle a lot of information.,i need a creative outlet.,0.057289185,train
i often need help.,i react slowly.,0.254866309,train
my social relationships are supportive and rewarding.,the smallest doubt can stop me from acting.,-0.086753836,train
i seem to derive less enjoyment from interacting with people than others do.,i prefer to eat at expensive restaurants.,-0.002468012,train
i love dangerous situations.,i react quickly.,0.193543079,train
i involve others in what i am doing.,i make a fool of myself.,0.069190411,train
people who disagree with me are just plain wrong and often evil as well.,"i have tender, concerned feelings for people less fortunate than me.",-0.220540434,train
i am comfortable in unfamiliar situations.,i am mainly interested in money.,0.032658892,train
i involve others in what i am doing.,i don't pride myself on being original.,0.041671831,train
i always know why i do things.,i make a mess of things.,-0.301687778,train
i wish i could push many of life's daily decisions off on someone else.,when i see a problem i prefer to do something about it rather than sit by and let it continue.,-0.234686735,train
i generally prefer novelty over familiarity.,when i am uncertain i can't function very well.,-0.10609297,train
i come up with good solutions.,i get upset if others change the way that i have arranged things.,-0.084949487,train
i get caught up in my problems.,i try not to think about the needy.,0.16710965,train
i always know why i do things.,i make plans and stick to them.,0.325671607,train
i am often bored.,i am relaxed most of the time.,-0.152537881,train
i am satisfied with the status of my own sexual fulfillment.,i am quick to notice other people's reactions to the sexual aspects of my own life.,0.041710216,train
i seldom notice the emotional aspects of paintings and pictures.,i talk even when i know i shouldn't.,0.073719709,train
i am at my best first thing in the morning.,i do not care to know the names of the plants i see.,0.062223141,train
i tend to dislike soft-hearted people.,i would not regret my behavior if i were to take advantage of someone impulsively.,0.352857043,train
i dream most nights.,i usually stay emotionally detached when watching a film.,-0.093760997,train
i amuse my friends.,i do not have a good imagination.,-0.155215762,train
i am not always what i appear to be.,i have a soft heart.,-0.085956307,train
i laugh a lot.,i like to be thought of as a normal kind of person.,0.081806891,train
i don't bother worrying about political and social problems.,"i have an intense, boisterous laugh.",-0.035541116,train
i am good at many things.,i am interested in people.,0.137874848,train
i am just an ordinary person.,i have a slow pace to my life.,0.134064827,train
i enjoy being part of a loud crowd.,i feel desperate.,-0.028196473,train
"i can sense if i am intruding, even if the other person doesn't tell me.",i find it easy to carry on a conversation with someone i've just met.,-0.068857904,train
i am easily distracted.,i get upset if others change the way that i have arranged things.,0.066762946,train
"my friends would describe me as someone who is ""extremely intense"" when in the middle of doing something.",i become uncomfortable when the rules in a situation are not clear.,-0.03430506,train
i tend to dislike soft-hearted people.,i am a goal-oriented person.,-0.021861893,train
i don?tend to find social situations confusing.,"when i read the newspaper, i am drawn to tables of information, such as football league scores or stock market indices.",-0.089554706,train
it is hard for me to see why some things upset people so much.,"if i had a collection (e.g. cds, coins, stamps), it would be highly organised.",0.038852495,train
i have never engaged in gossip.,i look at the bright side of life.,-0.038882369,train
i usually like to spend my free time with people.,i am usually active and full of energy.,0.368831527,train
i really enjoy caring for other people.,i can pick up quickly if someone says one thing but means another.,-0.232945685,train
i don't tolerate ambiguous situations well.,i do not feel sympathy for people who cause their own serious illnesses.,0.150811775,train
i do not tend to watch science documentaries on television or read articles about science and nature.,"when i lend someone money, i expect them to pay me back exactly what they owe me.",-0.050006951,train
i am passionate about causes.,i would describe my experiences as somewhat dull.,-0.228709546,train
i catch on to things quickly.,i do not have an assertive personality.,-0.174787218,train
i often feel uncomfortable around others.,i sympathize with others' feelings.,-0.18450042,train
i detect mistakes.,i speak softly.,0.080504896,train
i am tough-minded.,i like to avoid the nuances and say exactly what i mean.,0.254215863,train
i seldom get mad.,i find it necessary to please the people who have power.,-0.027744353,train
i am full of ideas.,i get even with others.,-0.031973397,train
i come up with something new.,i love dangerous situations.,0.173983866,train
i can say things beautifully.,i love to reflect on things.,0.150595574,train
i avoid mistakes.,i react strongly to criticism.,0.021411919,train
i make a mess of things.,i shirk my duties.,0.380618827,train
i let myself be influenced by others.,i listen to my conscience.,-0.111102113,train
i find it necessary to please the people who have power.,i let people push me around to help them feel important.,0.235364322,train
i avoid going to unknown places.,i would be pleased if asked to speak at a funeral.,-0.19692449,train
i avoid contacts with others.,i have a dark outlook on the future.,0.412852633,train
i know that my ideas sometimes surprise people.,i speak softly.,-0.034829002,train
i am mainly interested in money.,i have leadership abilities.,0.020369149,train
i believe that people are basically moral.,i do not have a good imagination.,0.025676048,train
i prefer variety to routine.,i lay down the law to others.,0.022488056,train
i can handle complex problems.,i take no time for others.,-0.023310938,train
i keep things tidy.,i am always prepared.,0.415344543,train
i avoid imposing my will on others.,i detect mistakes.,-0.047073164,train
i have difficulty imagining things.,i am full of ideas.,-0.430727017,train
i pay attention to details.,i make a mess of things.,-0.203314303,train
i get deeply immersed in music.,i like to be thought of as a normal kind of person.,-0.073162272,train
i am not easily annoyed.,i recover quickly from stress and illness.,0.223889986,train
i do just enough work to get by.,i tend to dislike soft-hearted people.,0.050260252,train
money acquired easily (e.g. through gambling or speculation) is usually spent unwisely.,"open to new experiences, complex.",-0.020423728,train
i find it necessary to please the people who have power.,i seek status.,0.267593828,train
i am relaxed most of the time.,i amuse my friends.,0.137675334,train
i am mainly interested in money.,i usually enjoy being with people.,0.022702365,train
i feel healthy and vibrant most of the time.,i try not to think about the needy.,-0.140436806,train
"i frequently find myself looking for new opportunities to grow as a person (e.g., information, people, resources).",i enjoy making my own decisions.,0.358516121,train
i get easily agitated.,i seek quiet.,0.158019254,train
i make enemies.,i disclose my intimate thoughts.,0.024079421,train
i feel a sense of worthlessness or hopelessness.,i keep my emotions under control.,-0.238963888,train
i am not easily annoyed.,i listen to my conscience.,0.117259865,train
i act like different people in different situations.,i love surprise parties.,-0.009660566,train
i hate to ask for help.,i work out regularly.,-0.093746396,train
i panic easily.,i seldom notice the emotional aspects of paintings and pictures.,-0.010689532,train
i am very pleased with myself.,i dislike routine.,-0.080243178,train
i have sometimes had to tell a lie.,i think that all will be well.,-0.110584696,train
i keep my emotions under control.,i rarely feel angry with people.,0.376666139,train
i immediately feel sad when hearing of an unhappy event.,i do not like concerts.,-0.11322953,train
i dislike talking about myself.,i seem to derive less enjoyment from interacting with people than others do.,0.267118676,train
i really enjoy caring for other people.,i am at my best first thing in the morning.,0.046438728,train
i would not enjoy a job that involves a lot of social interaction.,i would never cheat on my taxes.,-0.01418904,train
i shirk my duties.,i talk a lot.,0.045330947,train
i consider (and reconsider) every option thoroughly before making a plan.,i think it is important to be direct.,0.025551579,train
i am open about my feelings.,i avoid imposing my will on others.,0.004125881,train
i let people push me around to help them feel important.,i love dangerous situations.,0.130850117,train
i seldom feel weepy while reading the sad part of a story.,i suspect that my facial expressions give me away when i feel sad.,-0.110900799,train
i am hard to reason with.,i act like different people in different situations.,0.13896258,train
i am comfortable in unfamiliar situations.,i don't know why i do some of the things i do.,-0.05591388,train
i don't know much about history.,i love luxury.,0.01582726,train
i hate to change my plans at the last minute.,i'm self-conscious about the way i look.,0.115886685,train
i am wary of others.,i pay attention to details.,0.044939917,train
i am a person whose moods go up and down easily.,i don't know why i do some of the things i do.,0.349104866,train
i know immediately what to do.,i recover quickly from stress and illness.,0.246135858,train
i get even with others.,i usually enjoy being with people.,0.089286447,train
i am often in a bad mood.,i rebel against authority.,0.19867848,train
i can't stand weak people.,i immediately feel sad when hearing of an unhappy event.,-0.131987499,train
i do things out of revenge.,i spend a lot of time reading.,-0.044344219,train
i speak softly.,i take offense easily.,0.02645258,train
"i try to avoid problems that don't seem to have only one ""best"" solution.",i never take a hard look at myself.,0.187677881,train
i am full of ideas.,i do just enough work to get by.,-0.126769593,train
my social relationships are supportive and rewarding.,i have energy and spirit.,0.497373948,train
i come up with something new.,i am not a very enthusiastic person.,-0.232833895,train
i am indifferent to the feelings of others.,i don't know why i do some of the things i do.,0.158861053,train
i inquire about others' well-being.,i look at the bright side of life.,0.249367411,train
i am hard to get to know.,i dislike being the center of attention.,0.320125077,train
i can't be bothered with other's needs.,i make people feel uncomfortable.,0.235355715,train
i can handle complex problems.,i want everything to add up perfectly.,0.036946418,train
i believe that we should be tough on crime.,i only feel comfortable with friends.,0.046093672,train
i rarely feel angry with people.,i like to be thought of as a normal kind of person.,0.057167091,train
i become frustrated and angry with people when they don't live up to my expectations.,i get out of control.,0.099219479,train
i am exacting in my work.,i just know that i will be a success.,0.225105672,train
i really enjoy caring for other people.,i find it difficult to understand instruction manuals for putting appliances together.,0.121455039,train
i can't do without the company of others.,i have never engaged in gossip.,-0.114714762,train
i like to act on a whim.,i need reassurance.,0.049259933,train
i talk even when i know i shouldn't.,i would never go hang-gliding or bungee-jumping.,-0.12682769,train
i am out for my own personal gain.,i prefer to eat at expensive restaurants.,0.255123287,train
i prefer to avoid situations where someone else has to tell me what it is i should be doing.,it's not wise to tell your secrets.,-0.017819839,train
i dislike routine.,i want to be left alone.,-0.028040941,train
i am often in a bad mood.,i want to be left alone.,0.282357374,train
i demand a lot from others.,i indulge in my fantasies.,0.042455361,train
i am the life of the party.,i talk a lot.,0.429972709,train
i am a person whose moods go up and down easily.,i feel desperate.,0.4179032,train
"when i look at the world, i don't see much to be grateful for.",i never take a hard look at myself.,0.157733761,train
i don't let others cut in front of me in line.,i make people feel at ease.,-0.01530551,train
i believe that people are basically moral.,i like to do things for others.,0.230201698,train
i don't bother worrying about political and social problems.,i love to reflect on things.,-0.102787589,train
i have positive feelings about the way i approach my own sexual needs and desires.,the main thing which affects the sexual aspects of my life is what i myself do.,0.212509665,train
i am always ready to start afresh.,i demand a lot from others.,0.035028505,train
i criticize others' shortcomings.,i seldom experience sudden intuitive insights.,-0.057550874,train
i don't care what others think.,i am the life of the party.,0.104868,train
i feel a sense of worthlessness or hopelessness.,i have leadership abilities.,-0.260282421,train
i prefer familiar situations to new ones.,i should be able to organize everything in advance.,0.13412152,train
i am able to make decisions without being influenced by people's feelings.,"when i have a dream, i find it difficult to remember precise details about the dream the next day.",0.024209588,train
i can handle a lot of information.,i make people feel uncomfortable.,-0.116636715,train
"i want everything to be ""just right"".",i would not enjoy a job that involves a lot of social interaction.,0.015856853,train
i would describe myself as someone who actively seeks as much information as i can in a new situation.,i miss having a really close friend.,0.091223747,train
i only feel comfortable with friends.,i try to impress others.,0.034111218,train
i do things out of revenge.,i act without consulting others.,0.18288457,train
i usually stay emotionally detached when watching a film.,"i often make resolutions, but find it hard to stick to them.",0.230850153,train
i try not to think about the needy.,i am the last to laugh at a joke.,0.113592502,train
i become frustrated and angry with people when they don't live up to my expectations.,i love dangerous situations.,0.026984886,train
i am the life of the party.,i would never cheat on my taxes.,-0.070719023,train
i believe that people are basically moral.,i often express doubts.,-0.099312431,train
i am sure of my ground.,i immediately feel sad when hearing of an unhappy event.,-0.025103094,train
i do things according to a plan.,i have frequent mood swings.,-0.066396511,train
i am considered to be kind of eccentric.,i get easily agitated.,0.077878058,train
i am just an ordinary person.,i am skilled in handling social situations.,-0.084238353,train
i try to avoid situations where someone else tells me what to do.,i am absolutely certain that my ideas about the fundamental issues in life are correct.,0.073627351,train
i dislike being the center of attention.,i get even with others.,-0.132478351,train
i contradict others.,i am a goal-oriented person.,-0.03135273,train
i often need help.,i talk a lot.,0.026512152,train
i try to surpass others' accomplishments.,i demand explanations from others.,0.250348011,train
i don't know much about history.,i react strongly to criticism.,0.116450468,train
i am the life of the party.,i have difficulty imagining things.,-0.118868008,train
people who disagree with me are just plain wrong and often evil as well.,i'm always trying to figure myself out.,-0.20941339,train
i get even with others.,i lack the talent for influencing people.,-0.000965996,train
"when i am actively interested in something, it takes a great deal to interrupt me.","when facing difficult tasks, i am certain that i will accomplish them.",0.160847569,train
i inquire about others' well-being.,i never spend more than i can afford.,-0.02128737,train
i feel that others misunderstand me.,i try to follow the rules.,-0.110696114,train
i am interested in people.,i get easily agitated.,-0.119609119,train
i love to be the center of attention.,i spend more money than i should.,0.088040987,train
i do things without thinking of the consequences.,i keep things tidy.,-0.215035031,train
i am considered to be kind of eccentric.,i pay attention to details.,0.032936279,train
i seldom get mad.,i speak softly.,0.130875774,train
i make people feel at ease.,i don't mind being the center of attention.,0.199682205,train
i think that all will be well.,i am an original thinker.,0.076911062,train
i seldom feel blue.,i am full of ideas.,0.039622411,train
i do things without thinking of the consequences.,i have frequent mood swings.,0.216100832,train
i am open about myself to others.,i get chores done right away.,0.151460783,train
i find political discussions interesting.,i don't mind being the center of attention.,0.108928868,train
i make people feel uncomfortable.,i never spend more than i can afford.,-0.025480679,train
i have never engaged in gossip.,i take no time for others.,0.190969056,train
i find it necessary to please the people who have power.,i need a creative outlet.,-0.077251456,train
i can be stirred up easily.,i feel that people have a hard time understanding me.,0.123726036,train
i am competent and capable in the activities that are important to me.,"if i had to list everything that i felt grateful for, it would be a very long list.",0.115856809,train
i am comfortable in unfamiliar situations.,i am easily distracted.,-0.144270609,train
i am easy to satisfy.,i find it necessary to please the people who have power.,0.012464253,train
i amuse my friends.,i prefer to participate fully rather than view life from the sidelines.,0.224549319,train
assemble products in a factory.,compute and record statistical and other numerical data.,0.343515351,train
i express myself easily.,i make plans and stick to them.,0.254530219,train
i have excellent ideas.,i seldom joke around.,-0.052893827,train
i am inclined to forgive others.,i would hate to be considered odd or strange.,0.033636906,train
i feel a sense of worthlessness or hopelessness.,i let myself be influenced by others.,0.265034825,train
"when i learn about historical events, i do not focus on exact dates.",i do not read legal documents very carefully.,0.216769683,train
i can handle complex problems.,i never spend more than i can afford.,0.061106879,train
i can pick up quickly if someone says one thing but means another.,i tend to have very strong opinions about morality.,0.232183892,train
i have frequent mood swings.,i try to follow the rules.,-0.125679995,train
i am not bothered by difficult social situations.,i avoid mistakes.,-0.017761193,train
i do not like concerts.,i like to attract attention.,-0.057593591,train
i turn plans into actions.,i am not all that curious about the world.,-0.093341305,train
i am not bothered by difficult social situations.,i turn plans into actions.,0.355620133,train
i carry the conversation to a higher level.,i get easily agitated.,-0.005318413,train
i find it hard to forgive others.,i have difficulty imagining things.,0.059858616,train
i find it hard to make a choice when the outcome is uncertain.,i have never discovered a system of beliefs that explains everything to my satisfaction.,-0.02491893,train
i feel that others misunderstand me.,i take offense easily.,0.295883447,train
i always know what i am doing.,i am likely to show off if i get the chance.,-0.01209831,train
i continue until everything is perfect.,i hate being the center of attention.,-0.009531388,train
i try not to think about the needy.,i seek quiet.,0.057433763,train
"regardless of what is logical, i generally listen to my heart when making important decisions.","anxious, easily upset.",0.165883558,train
i don't know much about history.,i suspect that my facial expressions give me away when i feel sad.,0.063552751,train
i can't stand weak people.,i go straight for the goal.,0.16027641,train
i can't be bothered with other's needs.,i maintain high energy throughout the day.,-0.145780363,train
i can't stand being contradicted.,i do just enough work to get by.,0.107203538,train
i often feel lucky.,i like formal occasions.,0.172024756,train
i have a dark outlook on the future.,i see myself as an average person.,-0.013880507,train
i believe that laws should be strictly enforced.,i get even with others.,0.012797606,train
i always know what i am doing.,i break rules.,-0.027727173,train
i am hesitant to give suggestions.,i would go surfing regularly if i lived on a beach.,-0.112385322,train
i do things out of revenge.,i want to be left alone.,0.120633043,train
i have frequent mood swings.,i seldom feel blue.,-0.357501034,train
i have frequent mood swings.,i am afraid that i will do the wrong thing.,0.344673724,train
i find that my partner(s) don't want to get as close as i would like.,i get frustrated when my partner is not around as much as i would like.,0.305656062,train
i have frequent mood swings.,i often feel uncomfortable around others.,0.286170264,train
i am annoyed by others' mistakes.,i misjudge situations.,0.07116982,train
i do things that others find strange.,i usually like to spend my free time with people.,-0.110493044,train
i don't like situations that are uncertain.,"in general, i think that i can obtain outcomes that are important to me.",-0.005629235,train
i have difficulty imagining things.,i love luxury.,0.016416325,train
i dislike imperfect work.,i feel that most people can't be trusted.,0.145465147,train
"when i am actively interested in something, it takes a great deal to interrupt me.",i believe i can succeed at most any endeavor to which i set my mind.,0.183804633,train
i can pretty much prevent myself from developing sexual problems by taking good care of myself.,i have the capability to take care of my own sexual needs and desires.,0.327507405,train
i feel healthy and vibrant most of the time.,i need reassurance.,-0.202078326,train
i get deeply immersed in music.,i indulge in my fantasies.,0.187532164,train
i get out of control.,i hate being the center of attention.,-0.172734295,train
i do things by the book.,i put little time and effort into my work.,-0.148549447,train
i find political discussions interesting.,i am happy with my life.,0.085023277,train
friends usually talk to me about their problems as they say that i am very understanding.,"if i had a collection (e.g. cds, coins, stamps), it would be highly organised.",-0.079590426,train
i am hard to reason with.,i am not easily amused.,0.224588695,train
i just know that i will be a success.,i seldom daydream.,0.039362212,train
i dislike talking about myself.,i keep my emotions under control.,0.015827122,train
i avoid imposing my will on others.,i would never take things that aren't mine.,0.172944443,train
"when i look at the world, i don't see much to be grateful for.",i'm concerned about what other people think of me.,0.037992537,train
i have read the great literary classics.,i seldom feel weepy while reading the sad part of a story.,-0.055603232,train
"whatever it takes, you must get the important people on your side.",you should wait for the right time to get back at people.,0.442612944,train
i avoid dangerous situations.,i love surprise parties.,-0.097128131,train
i let myself be influenced by others.,i usually like to spend my free time with people.,-0.001719701,train
i love to read challenging material.,i care about super heroes.,0.107998694,train
i am mainly interested in money.,i speak ill of others.,0.243061559,train
i get upset by unpleasant thoughts that come into my mind.,i show my feelings when i'm happy.,0.091729312,train
i often need help.,i only feel comfortable with friends.,0.130010861,train
i get deeply immersed in music.,i am an original thinker.,0.190542786,train
i wanted to run away from home when i was a child.,i check on things more often than necessary.,0.052431401,train
i go straight for the goal.,i seldom notice the emotional aspects of paintings and pictures.,0.046219267,train
i rarely feel depressed.,i value cooperation over competition.,-0.040994363,train
i often worry about things that turn out to be unimportant.,i am a goal-oriented person.,-0.029244195,train
i have some bad habits.,i take offense easily.,0.10301609,train
conduct a musical choir.,manage a clothing store.,0.15191013,train
i can be stirred up easily.,i don't pretend to be more than i am.,-0.121208935,train
i choose my words with care.,i don't pretend to be more than i am.,0.033466147,train
i am quick to understand things.,i make a mess of things.,-0.159200033,train
i don't think that i'm better than other people.,i rebel against authority.,-0.24480179,train
i know that my ideas sometimes surprise people.,i seldom experience sudden intuitive insights.,-0.235579661,train
i act wild and crazy.,i am never at a loss for words.,0.163481026,train
i act wild and crazy.,i spend most of my time in fantasy worlds.,0.044833039,train
"i have an intense, boisterous laugh.",i would hate to be considered odd or strange.,0.040798887,train
i am open about myself to others.,i enjoy teamwork.,0.330448258,train
i carry out my plans.,i laugh a lot.,0.17819438,train
i avoid dangerous situations.,i lack the talent for influencing people.,0.13598983,train
i contradict others.,i get overwhelmed by emotions.,0.016286018,train
i like to be thought of as a normal kind of person.,i react strongly to criticism.,0.063041924,train
"if i had to list everything that i felt grateful for, it would be a very long list.",it upsets me to go into a situation without knowing what i can expect from it.,-0.096577498,train
i can handle complex problems.,i let people push me around to help them feel important.,-0.163517987,train
i get deeply immersed in music.,i love to reflect on things.,0.219501755,train
you should wait for the right time to get back at people.,"when i look at the world, i don't see much to be grateful for.",0.247582538,train
i continue until everything is perfect.,i only feel comfortable with friends.,0.043235932,train
i feel anxious when i think about the sexual aspects of my life.,i derive a sense of self-pride from the way i handle my own sexual needs and desires.,-0.313870369,train
i would feel very badly for a long time if i were to steal from someone.,i speak ill of others.,-0.230265109,train
"i would never break a law, no matter how minor.",i like to be very organised in day to day life and often make lists of the chores i have to do.,-0.496932117,train
i would hate to be considered odd or strange.,i am an original thinker.,-0.193268063,train
i become overwhelmed by events.,i don't think it's important to socialize with others.,0.043141951,train
i am the life of the party.,i am very pleased with myself.,0.211423836,train
i maintain high energy throughout the day.,i try not to think about the needy.,-0.070850969,train
i don't talk a lot.,i am easily annoyed.,-0.009082241,train
i am mainly interested in money.,i can handle complex problems.,-0.125856843,train
"when i'm walking, i deliberately notice the sensations of my body moving.",i tell myself that i shouldn't be feeling the way i'm feeling.,-0.056544676,train
i am inclined to forgive others.,i stop when work becomes too difficult.,0.016730844,train
i enjoy being part of a loud crowd.,"i enjoy being thought of as a normal ""mainstream"" person.",0.079944167,train
i am not bothered by difficult social situations.,i just know that i will be a success.,0.303179904,train
i am comfortable in unfamiliar situations.,i am willing to take risks.,0.410644189,train
i have attacked someone physically.,i don't know why i do some of the things i do.,0.118721441,train
i feel that people have a hard time understanding me.,i love to eat.,-0.079923827,train
i hate waiting for anything.,i would not regret my behavior if i were to take advantage of someone impulsively.,0.111431091,train
i prefer a job where i have a lot of control over what i do and when i do it.,"when it's time to act, uncertainty paralyses me.",-0.052330623,train
i am nice to people i should be angry at.,i am a goal-oriented person.,0.079862457,train
i find it hard to forgive others.,i postpone decisions.,0.11259667,train
i am comfortable in unfamiliar situations.,i find life difficult.,-0.249392203,train
i know how to comfort others.,i have frequent mood swings.,-0.041473995,train
i follow a schedule.,i take no time for others.,-0.11413409,train
i am easily annoyed.,i am not always what i appear to be.,0.196642437,train
i enjoy being able to influence the actions of others.,i'd rather run my own business and make my own mistakes than listen to someone else's orders.,0.197908778,train
i do things on the spur of the moment.,i am always looking for new experiences.,0.390589444,train
i believe that we should be tough on crime.,i don't know much about history.,0.052884122,train
i am exacting in my work.,i get chores done right away.,0.245723241,train
i am passionate about causes.,i am not all that curious about the world.,-0.244117697,train
i get overwhelmed by emotions.,i talk a lot.,0.197328072,train
i seldom experience sudden intuitive insights.,i usually enjoy being with people.,-0.002899586,train
i am engaged and interested in my daily activities.,i should be able to organize everything in advance.,0.076608711,train
i know that my ideas sometimes surprise people.,i would never cheat on my taxes.,-0.074144116,train
i don't bother worrying about political and social problems.,i stick to the rules.,0.092998901,train
i have trouble finding people i want to be friends with.,i can keep a conversation going with anyone about anything.,-0.29350843,train
i am patient with people who annoy me.,i don't care what others think.,-0.081619142,train
i keep things tidy.,i seldom daydream.,0.067921398,train
i am a person whose moods go up and down easily.,i like to be thought of as a normal kind of person.,-0.195844877,train
i am mainly interested in money.,i become frustrated and angry with people when they don't live up to my expectations.,0.124410082,train
i am excited by many different activities.,i have wanted to be a stand-up comedian.,0.177605073,train
i find political discussions interesting.,i like to act on a whim.,-0.04140545,train
i can say things beautifully.,i get even with others.,0.069807224,train
i say little.,i rarely feel depressed.,-0.118779893,train
i would never go hang-gliding or bungee-jumping.,i am happy with my life.,-0.094724005,train
i pay attention to details.,i seldom experience sudden intuitive insights.,-0.047070263,train
i think it is important to be direct.,i am very sensitive to people's feelings and needs.,-0.154747786,train
i am on good terms with nearly everyone.,i recover quickly from stress and illness.,0.252752936,train
i get caught up in my problems.,i have read the great literary classics.,-0.050998521,train
i react strongly to criticism.,i try to understand myself.,-0.026561166,train
i don't know much about history.,i would never go riding down a stretch of rapids in a canoe.,0.103981892,train
i have excellent ideas.,i have frequent mood swings.,-0.115479159,train
i seldom get mad.,i don't bother worrying about political and social problems.,0.001777993,train
i can handle a lot of information.,i just know that i will be a success.,0.224046698,train
i let myself be influenced by others.,i will not probe deeply into a subject.,0.081760739,train
"when i listen to a piece of music, i always notice the way it's structured.","when an election is being held, i am not interested in the results for each constituency.",-0.110665064,train
i am a long way from reaching final conclusions about the central issues in life.,i care a lot about how i present myself to others.,0.139957996,train
i suspect that my facial expressions give me away when i feel sad.,i find fault with everything.,-0.023296784,train
i become overwhelmed by events.,i speak softly.,0.11481883,train
i behave in a businesslike manner.,i come up with something new.,0.096711824,train
"i have an intense, boisterous laugh.",i like to act on a whim.,0.145958739,train
i am out for my own personal gain.,i don't know much about history.,0.029640593,train
i enjoy making my own decisions.,"when facing difficult tasks, i am certain that i will accomplish them.",0.288335361,train
"i when interacting with a group of people, am often bothered by at least one of them.",i do not like concerts.,0.079912592,train
i feel that i have a lot of inner strength.,i don't bother worrying about political and social problems.,-0.032926118,train
i am a person whose moods go up and down easily.,i show my feelings when i'm happy.,-0.011733186,train
"when someone else is feeling excited, i tend to get excited too.","when facing difficult tasks, i am certain that i will accomplish them.",0.110850763,train
i try to solve my own problems rather than discussing them with others.,i rarely read articles or webpages about new technology.,-0.334453333,train
it is hard for me to see why some things upset people so much.,i do not care to know the names of the plants i see.,0.019090787,train
i am never at a loss for words.,i don't mind being the center of attention.,0.285081031,train
i get upset if others change the way that i have arranged things.,i stop when work becomes too difficult.,0.144755626,train
i need reassurance.,i tend to dislike soft-hearted people.,-0.065166494,train
i often need help.,i am self destructive.,0.342629055,train
i wanted to run away from home when i was a child.,i have attacked someone physically.,0.227287644,train
i seldom feel weepy while reading the sad part of a story.,i get chores done right away.,0.058199787,train
i easily become wrapped up in my own interests and forget the existence of others.,i tend to want others to pay attention to me.,0.293255323,train
i do things without thinking of the consequences.,i love luxury.,0.089937132,train
i anticipate the needs of others.,i am very shy in social situations.,-0.121098802,train
i believe that people are basically moral.,i seem to derive less enjoyment from interacting with people than others do.,-0.137901768,train
i am never at a loss for words.,i make a mess of things.,-0.055798887,train
i do things without thinking of the consequences.,i take no time for others.,0.245686546,train
i wanted to run away from home when i was a child.,i will not probe deeply into a subject.,-0.010728845,train
i am hard to get to know.,i hate waiting for anything.,0.078479306,train
my social relationships are supportive and rewarding.,i am a good person and live a good life.,0.358353763,train
i would fear walking in a high-crime part of a city.,i do things according to a plan.,0.090634839,train
i say little.,i don't pride myself on being original.,0.209607196,train
i am hard to get to know.,i have a strong need for power.,0.08960855,train
i am the life of the party.,i become frustrated and angry with people when they don't live up to my expectations.,-0.009076282,train
i make people feel uncomfortable.,i try to impress others.,0.1095873,train
i get out of control.,i stop when work becomes too difficult.,0.344451719,train
i have a dark outlook on the future.,i sympathize with others' feelings.,-0.217602251,train
i feel desperate.,i seldom notice the emotional aspects of paintings and pictures.,-0.024384782,train
i try to follow the rules.,i consider myself an average person.,0.237306732,train
"when i look at an animal, i like to know the precise species it belongs to.","when i look at a piece of furniture, i do not notice the details of how it was constructed.",-0.278209038,train
i will not probe deeply into a subject.,"i have an intense, boisterous laugh.",0.002358888,train
i miss having a really close friend.,i care a lot about how i present myself to others.,0.098972781,train
i am afraid that i will do the wrong thing.,i feel crushed by setbacks.,0.515778388,train
i involve others in what i am doing.,i seldom feel weepy while reading the sad part of a story.,-0.062469378,train
i carry the conversation to a higher level.,i make careless mistakes.,-0.034947325,train
i want to be in charge.,"i want everything to be ""just right"".",0.156659612,train
i continue until everything is perfect.,i have difficulty imagining things.,0.004672965,train
i want things to proceed according to plan.,i have difficulty imagining things.,0.076579276,train
i would prefer to be a leader rather than a follower.,"when facing difficult tasks, i am certain that i will accomplish them.",0.265941355,train
i come up with something new.,i seldom joke around.,-0.079759034,train
i usually stay emotionally detached when watching a film.,i find it difficult to do two things at once.,0.118663153,train
i often express doubts.,i prefer to eat at expensive restaurants.,0.03775829,train
"my opinions and beliefs fit together perfectly to make a crystal-clear ""picture"" of things.",it upsets me to see someone being treated disrespectfully.,-0.019631261,train
i am quick to spot when someone in a group is feeling awkward or uncomfortable.,i can easily tell if someone else is interested or bored with what i am saying.,-0.39010476,train
"i find that i am ""in tune"" with other people's moods.",i always want to know what the future has in store for me.,0.088730257,train
"when i see someone being treated unfairly, i do not feel very much pity for them.",i find it silly for people to cry out of happiness.,0.254091098,train
"my opinions and beliefs fit together perfectly to make a crystal-clear ""picture"" of things.",i have so much in life to be thankful for.,-0.006064593,train
i make plans and stick to them.,"i when interacting with a group of people, am often bothered by at least one of them.",-0.09243423,train
i am always ready to start afresh.,i show my feelings when i'm happy.,0.177734259,train
i feel at ease with people.,i immediately feel sad when hearing of an unhappy event.,0.160335169,train
i become overwhelmed by events.,i would fear walking in a high-crime part of a city.,0.221210506,train
i am always prepared.,i stop when work becomes too difficult.,-0.251202716,train
i do just enough work to get by.,i find life difficult.,0.127748864,train
i like to be thought of as a normal kind of person.,i immediately feel sad when hearing of an unhappy event.,0.115212083,train
i have sometimes had to tell a lie.,i usually like to spend my free time with people.,-0.051092221,train
i hate being the center of attention.,i am engaged and interested in my daily activities.,-0.124067135,train
i react slowly.,i try to understand myself.,0.076402429,train
i laugh a lot.,i talk a lot.,0.428899076,train
i am easily annoyed.,i am happy with my life.,-0.266919606,train
i dream most nights.,"i can usually appreciate the other person's viewpoint, even if i don't agree with it.",-0.148735322,train
i believe in human goodness.,i mess things up.,-0.059820985,train
